Date,close,P_E,P_B,Div_Yield,a10_y_GSEC,Yield_gap,EPS,MCAP_GDP,EPS_1YEARAGO,EPS_GROWTH_1,PEG_1,PEGY_1,EPS_3YEARAGO,EPS_GROWTH_3,PEG_3,PEGY_3,return_1,return_3,return-5,return_7,return_10
27-Jan-99,? 971.30,12.9,2.29,1.65,12.219,4.467062016,? 75.29,63,,,,,,,,,68.32%,12.16%,90.21%,202.72%,185.32%
28-Jan-99,? 955.10,12.68,2.26,1.68,12.219,4.332564669,? 75.32,63,,,,,,,,,67.64%,13.63%,99.42%,212.30%,198.35%
29-Jan-99,? 966.20,12.83,2.28,1.66,12.219,4.424767732,? 75.31,63,,,,,,,,,67.73%,11.79%,92.83%,207.86%,192.27%
01-Feb-99,? 940.15,12.48,2.22,1.7,12.219,4.206179487,? 75.33,61,,,,,,,,,71.63%,13.96%,96.10%,219.22%,205.78%
02-Feb-99,? 931.20,12.36,2.2,1.72,12.221,4.130385113,? 75.34,61,,,,,,,,,70.36%,15.08%,94.35%,219.11%,197.11%
03-Feb-99,? 952.40,12.64,2.25,1.69,12.22,4.308607595,? 75.35,61,,,,,,,,,68.41%,12.08%,85.74%,211.58%,192.30%
04-Feb-99,? 939.70,12.48,2.22,1.71,12.221,4.208179487,? 75.30,61,,,,,,,,,70.17%,14.44%,93.91%,212.93%,198.29%
05-Feb-99,? 936.30,12.43,2.21,1.71,12.22,4.174947707,? 75.33,61,,,,,,,,,65.14%,15.52%,92.73%,220.46%,196.92%
08-Feb-99,? 916.50,12.17,2.17,1.75,12.22,4.003073131,? 75.31,61,,,,,,,,,69.07%,17.50%,100.07%,229.53%,210.21%
09-Feb-99,? 924.75,12.28,2.18,1.73,12.22,4.076677524,? 75.31,61,,,,,,,,,71.72%,16.17%,103.37%,225.38%,215.75%
10-Feb-99,? 959.45,12.74,2.27,1.67,12.22,4.370706436,? 75.31,61,,,,,,,,,66.54%,16.01%,96.02%,215.55%,205.85%
11-Feb-99,? 960.05,12.75,2.27,1.67,12.222,4.378862745,? 75.30,61,,,,,,,,,66.63%,15.67%,97.02%,216.77%,204.74%
12-Feb-99,? 970.25,12.88,2.29,1.62,12.223,4.459024845,? 75.33,61,,,,,,,,,68.68%,15.82%,94.31%,211.01%,198.18%
15-Feb-99,? 954.55,12.67,2.26,1.64,12.222,4.329340174,? 75.34,61,,,,,,,,,74.19%,18.54%,100.47%,216.61%,208.87%
16-Feb-99,? 958.90,12.73,2.27,1.63,12.223,4.367540456,? 75.33,61,,,,,,,,,76.21%,17.79%,99.56%,215.11%,197.06%
17-Feb-99,? 969.05,12.87,2.29,1.64,12.223,4.45299223,? 75.30,61,,,,,,,,,76.59%,17.14%,98.14%,207.67%,185.90%
18-Feb-99,? 973.45,12.92,2.3,1.63,12.223,4.48306192,? 75.34,61,,,,,,,,,80.39%,18.14%,96.87%,208.78%,185.19%
19-Feb-99,? 976.30,12.96,2.31,1.63,12.225,4.508950617,? 75.33,61,,,,,,,,,78.68%,18.81%,90.34%,210.92%,185.71%
22-Feb-99,? 953.85,12.66,2.25,1.66,12.226,4.327105845,? 75.34,61,,,,,,,,,78.49%,22.96%,94.23%,219.84%,186.88%
23-Feb-99,? 949.65,12.61,2.24,1.67,12.224,4.293785884,? 75.31,61,,,,,,,,,80.18%,22.03%,90.41%,222.45%,187.89%
24-Feb-99,? 957.65,12.72,2.26,1.66,12.223,4.36136478,? 75.29,61,,,,,,,,,81.91%,19.66%,90.19%,218.49%,188.47%
25-Feb-99,? 954.30,12.68,2.26,1.66,12.223,4.336564669,? 75.26,61,,,,,,,,,80.01%,20.49%,87.24%,221.43%,191.91%
26-Feb-99,? 941.20,12.51,2.23,1.66,12.223,4.229394884,? 75.24,61,,,,,,,,,86.30%,23.62%,87.61%,226.68%,193.63%
27-Feb-99,? 981.30,13.04,2.32,1.59,12.223,4.554288344,? 75.25,61,,,,,,,,,77.22%,18.77%,83.46%,218.26%,172.56%
01-Mar-99,"? 1,015.80",13.5,2.4,1.54,12.227,4.819592593,? 75.24,71,,,,,,,,,67.00%,17.09%,82.39%,210.17%,158.16%
03-Mar-99,"? 1,051.85",13.98,2.49,1.49,12.034,4.880924177,? 75.24,71,,,,,,,,,64.66%,13.06%,76.87%,199.22%,151.48%
04-Mar-99,"? 1,041.20",13.83,2.46,1.5,12.052,4.82134201,? 75.29,71,,,,,,,,,64.28%,9.69%,77.09%,206.42%,147.47%
